说话人01(00:00:00): 我看里面对照的，这都是。
说话人01(02:04:00): 对快解放我。

说话人04(02:04:02): 咱们俩干什么？

说话人02(02:04:04): 到没到你的回合？

说话人04(02:04:06): 对！

说话人01(02:04:07): 你看。

说话人02(02:04:07): 你是最后一个动作到护卫上去戳他来护卫，对他造成高达。

说话人03(02:04:15): 一点的伤害。

说话人04(02:04:16): 高达还有钢弹？

说话人03(02:04:20): 我他妈。

说话人02(02:04:20): 说点伤害。一下子把它给刺穿。

说话人01(02:04:29): 也死了？

说话人04(02:04:29): 好？

说话人02(02:04:31): 我再过一个寡妇的豁免失败。

说话人04(02:04:36): Yeah.8点就死了，原来才8点，那我们打不就好了吗？你不打你不动手。

说话人02(02:04:45): 我也不知道你们到底在寝室吃什么 a都不 A。

说话人04(02:04:52): 我玩 coc 玩的**玩 coc 玩的，我最后会玩的。

说话人02(02:04:59): 笼子把你身上的银项链给删掉了，他们拿走了。

说话人01(02:05:04): 你你要项链吗？那给你了，谢谢！谢谢！谢谢！

说话人02(02:05:09): 你以为？

说话人03(02:05:09): 几个人玩 co 对。

说话人02(02:05:10): 你以为他是跟你索取吗？他是直接把你身上的线给缠挑开，然后把你的背包挑出来，拿到了项链？

说话人01(02:05:20): 我也是出来了，孩子们，我还有2点敏捷还是能移动的？

说话人02(02:05:26): Ok ok ok 好的。

说话人01(02:05:28): 我们既然都出来了。

说话人04(02:05:28): 我们真的是冒险者！

说话人01(02:05:30): 我们快点的搜刮一下，看他们就那个人都没有的。我们给你搜刮一下吧，来吧！

说话人04(02:05:34): 原来我们是冒险者，我还以为我们。

说话人01(02:05:37): 对！

说话人04(02:05:37): 是在这点名来的？

说话人01(02:05:38): 我们是冒烟的搜刮，先去找箱子那个箱子。

说话人04(02:05:44): 不是真对这个规则以及世界观不了解，我还以为我们是真的数数。

说话人02(02:05:49): 你们是真的数？

说话人01(02:05:50): 搜刮，不过我们在做主！

说话人04(02:05:52): 不是我以为是最弱小的那种鼠？

说话人01(02:05:53): 在做主。

说话人02(02:05:56): 我一开始就叫陌生说！

说话人04(02:05:57): 什么力量都没有那种。

说话人01(02:05:59): 战斗娴熟来吧，我们搜刮吧！

说话人02(02:06:02): 魔法豆放谁那里，我揉一个阿迪六。

说话人01(02:06:08): 那你要吗？

说话人02(02:06:09): 这里有丰厚的小箱子，里面有一个魔法豆和20p。

说话人01(02:06:17): 那我拿个魔法豆吧！

说话人02(02:06:18): 20匹。

说话人04(02:06:19): 那我！

说话人03(02:06:20): 魔法豆是什么东西？

说话人04(02:06:21): 你怎么全给？

说话人02(02:06:22): 魔法的豆子反正旁边给你解析了它长大起来会有很有作用。

说话人01(02:06:30): 那我要了。

说话人04(02:06:31): 我要了求求你了。

说话人01(02:06:32): 要个毛线？

说话人04(02:06:32): 给我吧！

说话人01(02:06:33): 那我先看到的箱子，我先翻。谁能看到了你还想拿？

说话人03(02:06:35): 风后遗体看一下！

说话人01(02:06:37): 给你20屁我。

说话人03(02:06:39): 拿了。

说话人02(02:06:39): 而他们那边也给你们？

说话人01(02:06:40): 二次利给你拿着吧！

说话人02(02:06:44): 一点报酬，毕竟你帮他找回了他们的项链，那就 ok。

说话人04(02:06:53): 两两个人看到一个。

说话人02(02:06:54): 12×12×5。给你们60匹？

说话人03(02:07:01): 60题了 ok正好。

说话人04(02:07:04): 所以在他们眼中，我们其实是那种很强，然后一看力拔山兮气盖世，然后一个法师，然后一个刺客那种。

说话人01(02:07:13): 那我们就。

说话人04(02:07:13): 然后在一直在那逼赖说自己不懂战斗什么的，在求他们攻击？

说话人01(02:07:20): 那很明显了，那后面我们一人三个了。再一个封后尸体，风姐你拿着吧，封后尸体拿回去卖钱吧！

说话人02(02:07:28): 丰厚私企卖不了！

说话人04(02:07:29): 还有红寡妇身上毒液！

说话人02(02:07:30): 只能把。

说话人01(02:07:31): 红花不是你明天来拿着红花不是你回去卖钱去吧！

说话人02(02:07:35): 卖不了谁跟你说能卖的没有价值？

说话人01(02:07:37): 哥卖不了？

说话人02(02:07:39): 没有任何价值。

说话人04(02:07:40): 不是有毒什么的很强吗？我弄一罐。

说话人02(02:07:43): 没有！

说话人01(02:07:46): 那就这样吧！

说话人02(02:07:47): 没有给你的保障没有。

说话人03(02:07:47): 那我拿个方法都是带？

说话人01(02:07:50): 那中间我们走吧！

说话人02(02:07:53): 而且蜘蛛的毒不能残留，只有另外一个种族的才能用毒牙来装饰武器，而他那种毒牙你们获取不到，因为我删了那个种族，不存在这片大陆。没事，但有魔法剑的版本，魔法剑上的版本有带毒牙的，只是你们这个槽不可能刷出魔法剑这种高等道具。

说话人02(02:08:30): 不过其实你俩赶回去很累，没关系，反正现在其实也没什么危险。你们在外面休息一下，也可以赶回来蜜糖镇这边犹豫，早早的回来领，早早老蜜龙领了报酬。柑橘比你早回来一点，他已经睡下了，他又给你这30批了，你自己加30批。

说话人02(02:08:58): 另外一边你们是60批+20批70啊80批你们怎么分每人40批吗？

说话人01(02:09:06): 你你封烟我拿30p剩下的给你吧，然后再拿个魔法豆。

说话人04(02:09:10): 我都疯了吧，你们谁？分三份。

说话人03(02:09:14): 我还有个问题，那两个蜂蜜我肯定要变现，怎么变来着？

说话人02(02:09:20): 怎么变现你你，你说你抢回来了，这两个蜂蜜是吗？

说话人03(02:09:27): 对！

说话人01(02:09:28): 对都给他了！

说话人03(02:09:29): 要给我了！

说话人01(02:09:30): 都在他身上。

说话人02(02:09:31): 对，那你要跟他们卖吗？

说话人03(02:09:34): 我还扔了两个东西，不是多少价钱？

说话人02(02:09:39): 不是标了吗？

说话人04(02:09:40): 100 p！

说话人03(02:09:42): 这么贵吗？

说话人02(02:09:44): 对！对！

说话人04(02:09:48): 直接卖了，然后咱们直接跑吧！

说话人03(02:09:50): 我同意。

说话人02(02:09:52): 卖了那行，你自己寄，那你们分不分？

说话人01(02:09:57): 我们？

说话人02(02:09:57): 就是你们的事了。

说话人01(02:10:00): 我们先休息一下吧！

说话人02(02:10:03): 不用休息了没有下一个了，今晚就结束了！

说话人01(02:10:08): 不是那行。

说话人02(02:10:10): 你以为很长吗？我已经给你摸完一个地城了，你还想怎样？

说话人01(02:10:16): 那我们状态是不是敏捷，什么都恢复了？

说话人02(02:10:19): 对肯定恢复！

说话人01(02:10:21): 我们的甲损失的也恢复了吗？

说话人02(02:10:24): 假的话得修补的话得花钱来吧，让我看看你们要修假的话去共享资料册里面找这一个服务。

说话人04(02:10:40): 到最后我其实有多少钱？忘了。

说话人02(02:10:43): 服务不在表服务，我得去看手，我的主持人手册里。

说话人01(02:10:50): 你中间你你你不是我就拿30剩下不是给你了吗？能给他50吗？

说话人02(02:10:57): 休假的话。

说话人01(02:10:57): 我58p 我30拿个红把豆！

说话人02(02:11:03): 轻甲8匹，重甲16匹。

说话人04(02:11:08): 让我修个假发。

说话人01(02:11:09): 那我修吧。

说话人02(02:11:13): 小玉你有钱了，你也可以买假了，你想买。

说话人03(02:11:19): 占我一个格子？

说话人02(02:11:22): 但你身体而已，你身体本来也没背东西，你本来没穿甲。

说话人03(02:11:26): 你让我们看一下。

说话人02(02:11:27): 你穿的是衣服？

说话人03(02:11:28): 我看一下。

说话人02(02:11:32): 不排除你是裸着的。

说话人03(02:11:34): 那不会，那肯定有衣服穿嘛？

说话人02(02:11:37): 后面你们想弄例会的话也可以给我发例会过来，我说白了。

说话人03(02:11:42): 总书记会吧！

说话人02(02:11:42): ***就是让你来战斗爽的**又不爽，又在那犹豫想干什么？

说话人01(02:11:49): 模具体的效果是什么？

说话人04(02:11:51): 原来是原来这我们是冒险者！

说话人01(02:11:51): 第6根整天咱们就不？

说话人02(02:11:54): 他都让你直接自动命中了，你出烧嘛，又不会 miss 的。

说话人04(02:12:00): 我以为是为了很容易杀死我们吗？

说话人02(02:12:02): 那边的护甲压根就没有几个超过一有护甲的都只有一。

说话人04(02:12:11): 哈哈哈！我还以为我是那种很弱小的鼠叔，然后在这个世界中，探险什么的不可名状的世界。

说话人02(02:12:25): 你刚走出现场，所以你就别太飘。你刚走出新手村而已，新手村的附近当然不强，新手村之后就不知道了。

说话人04(02:12:37): 没事以后就按打就好，就遇到什么先觉得自己打不过，然后先跑。

说话人01(02:12:43): 好毛线遇到什么直接打就行了，兄弟以后。

说话人02(02:12:46): 傻狗来的吃傻狗。

说话人04(02:12:50): 真不懂。那个规则书上有一句就是如果角色死了，就立马车一个新卡，我就觉得这角色死了，挺晴这种感觉。

说话人02(02:13:01): 那是因为我只是给你们构建了一个非常小的战役而已，没有太多的势力纠葛，这边的仙灵。他们在这里构建这一个传送阵，只是要扩张领地把这里当他们的这一个全球阵点之一，至于他们之后会怎么做，那就不归你们管了，因为你们不会在这久待你们是冒险鼠。只是你把他们杀了，确实有东西拿你他那边还有一对魔法传音螺有你有爱有缝。

说话人03(02:13:44): 手机？

说话人04(02:13:48): 那我现在是34钱包有34块钱，这个月牙这个笼子你把我那1块钱还我现我只有35了。什么三是什么？

说话人02(02:13:59): 这边不还有个玉小玉他妈200多了吗？

说话人01(02:14:00): 钱什么钱我不知道。

说话人02(02:14:05): 小云身上还有200多？

说话人04(02:14:05): 快快换我。

说话人01(02:14:08): 我不知道什么叫我。

说话人04(02:14:08): 这是他的钱快还我1块钱，这样的话我就35了15的倍数！

说话人01(02:14:16): 很明显，我不知道什么钱。

说话人04(02:14:17): 我看着这个34难受！

说话人01(02:14:20): 你这很明显，我不知道什么枪！

说话人04(02:14:23): 那小鱼能给我1块钱吗，谢谢了！

说话人02(02:14:30): 太妙了！

说话人01(02:14:33): 这还有魔法剑？

说话人02(02:14:36): 对的。

说话人03(02:14:36): 那我买个轻甲吧150。

说话人02(02:14:39): 点，那你加上。

说话人01(02:14:40): 有魔法界，然后还有。

说话人02(02:14:42): 规则里面的甲抵挡不了这么多伤害他，甚至只给你减免一点重甲和轻甲都减免一点，给我气笑了，他想干嘛？

说话人01(02:14:52): 轻甲减免2点不是？

说话人04(02:14:54): 怎么说，重甲除了减免一点，它还能让你敏捷有个劣势头？

说话人02(02:14:59): 当然原版的原版中奖，确实也有劣势。笑死了！你们这边，如果想进阶的话，按照这个规则来。我发到群里。

说话人04(02:15:27): 我真以为这个模组是在那种势力间周旋选择。

说话人01(02:15:36): 咱家的老鼠将保证。

说话人04(02:15:36): 然后。

说话人02(02:15:38): 我也没说。

说话人01(02:15:38): 还有。

说话人02(02:15:39): 一定要把这钩子给完全抛弃，我万一之后还想捡回来用！

说话人04(02:15:47): 什么？

说话人02(02:15:49): 来吧，你们想。

说话人04(02:15:51): 完完全不认识。

说话人02(02:15:52): 获取叉 p 的话那就。

说话人03(02:15:56): 看一下。

说话人04(02:15:59): 买皮肤价值的保障，安全带。

说话人01(02:16:04): 生命值在新等级对应的生命值高于等级。

说话人04(02:16:10): **我现在是1级？那要1000？

说话人03(02:16:15): 我们要1000经验吗？我们真要升级吗？

说话人01(02:16:18): 魔豆算多少经验？

说话人04(02:16:18): 我们1万。

说话人02(02:16:23): 魔豆算多少经验？魔法物品的话，那就按法术类的价格来卖法术的售卖价格其实在那个玩家手册底部有的你如果想卖的话，那就卖。

说话人01(02:16:41): 不用完全卖经验好像不是完全卖。

说话人02(02:16:44): D6×100 bd6×100 B你想买的话那就买。

说话人01(02:16:48): 那算了，不买了。

说话人02(02:16:51): 那说不定你投到六直接600 p？

说话人01(02:16:55): 那不要？

说话人04(02:16:56): 咱们要退1万皮肤才能升1级。

说话人01(02:17:00): 1000经验升1级！

说话人02(02:17:02): 1000。

说话人03(02:17:02): 这还均分的，我们待会儿摘取是均分的经验。

说话人01(02:17:06): 对我们是均分的经验！

说话人03(02:17:08): 对我这边是带回200，你们是不对报酬算进去了吗？报酬是算带回吗？

说话人02(02:17:14): 不是你们得！

说话人03(02:17:14): 不算。

说话人01(02:17:16): 我们得花钱去升这个经验？

说话人02(02:17:21): 安全带回均分队伍，那你们还没有开始均分，你们得去圈均分了才行！

说话人03(02:17:29): 那算了，下个本再说吧，我已经碰了那么多了。

说话人01(02:17:32): 最最最有钱了！

说话人04(02:17:33): 的人如此说道。

说话人01(02:17:35): 那我们现在都是1级？

说话人04(02:17:37): 我把我的35。

说话人02(02:17:39): 他现在就剩50多了，不是最有钱的。

说话人03(02:17:42): 没有八十几。

说话人02(02:17:43): 80多嘛？

说话人04(02:17:45): 我把我的3535就会给选个最优。

说话人02(02:17:50): It's.太惨了！

说话人03(02:17:52): 求求你了！

说话人02(02:17:53): 小玉怎么这么坏？你的慈母心？

说话人01(02:17:56): 你看这样。

说话人02(02:17:57): 你 oc 了你知道吗？

说话人01(02:17:57): 小玉先把钱均分掉，不是小玉先把钱均分掉，然后中间再均分就均分了，我再均分，然后我们来回均分发经验。

说话人04(02:18:06): **。

说话人02(02:18:06): 我看一眼。

说话人04(02:18:06): 好聪明！

说话人02(02:18:08): 这边的话。

说话人01(02:18:10): 直接卡 bug？

说话人03(02:18:11): 没有他说战略型均分！

说话人02(02:18:12): 美皮普的美皮普价值的宝藏，你们的宝藏的话！

说话人03(02:18:18): 两罐蜂蜜。

说话人04(02:18:19): 只有两罐蜂蜜能这样算，他作业他不0分。

说话人03(02:18:24): 我才不要结婚，这是我辛苦带起来带回来的。

说话人04(02:18:26): 只有蜂蜜能这样发？

说话人02(02:18:29): 那就没辙了。你们一直不均分？

说话人04(02:18:31): 笼子是我的战利品。

说话人01(02:18:32): 我把他。

说话人04(02:18:35): 龙龙子算我的战利品！

说话人01(02:18:38): It was.

说话人02(02:18:40): 怎么你你有鼠格障碍？

说话人04(02:18:45): 我是猫诶，我是猫！

说话人03(02:18:47): 是你你还给你走一遍？

说话人02(02:18:48): 你就是有数格障碍，现在我们现在都1级。

说话人01(02:18:52): 是不是要？

说话人04(02:18:52): 第六的生命。

说话人02(02:18:53): Ok，那我给你标记一个数格障碍给你标记一个成熟状态。

说话人04(02:19:01): 所以要有个障碍能干什么？

说话人01(02:19:02): 不要这传送状态，什么过传送状态不要。

说话人04(02:19:07): 好玩，我就留着。

说话人02(02:19:09): 好给你留着数个障碍。

说话人04(02:19:12): 守个站位能干什么嘛？

说话人01(02:19:12): 你这样就要留着吗？你第四个你你你这样留着没啥用，我更快得到第四个重重击？好好好！

说话人04(02:19:21): 锁个障碍能干什么嘛？

说话人01(02:19:21): 行本来三个状态还能打出来动机。

说话人02(02:19:24): 不告诉不告诉你。

说话人01(02:19:26): 现在对于你来说两个状态就行了。

说话人02(02:19:30): 但是很难凑齐第二个状态。因为敌人打你们只能对你们基本上只能对你们造成受伤状态疲劳状态都是你们自己运动过多才得到的，然后饥饿的话，现在可能没那么多，需要跑这么久的。

说话人02(02:19:48): 对！

说话人01(02:19:49): 我们现在是。

说话人02(02:19:49): 你们的干粮已经吃完了，所有人给我扣5bp买新的。

说话人04(02:19:55): 正好30了，正好能均分，但是不是战利品操。说实话我那30b 算39吗？我是在老乡那边想！

说话人02(02:20:08): 他带回的。

说话人04(02:20:09): 那我去分了？

说话人02(02:20:10): 带回的 bp也算保障的一部分。

说话人04(02:20:13): 那我正好30币每个人10币你们拿吧，我自己扣了已经。

说话人03(02:20:19): 不用我就还给你。

说话人01(02:20:21): 你拿着吧，你就你留着吧！

说话人02(02:20:23): 还没有中分？

说话人04(02:20:23): 我留着看什么？

说话人02(02:20:25): 还是没有经验。

说话人04(02:20:26): 我不要你们，你们快拿吧，不然我就送老密龙了，快三。

说话人03(02:20:32): 那你是他吧！

说话人02(02:20:32): 军飞也得你也有，你没有的话那就不算有经验！

说话人03(02:20:37): 下我们再说吧，我们这个经验少的很不差这一个本！

说话人04(02:20:43): 积少成多嘛？

说话人01(02:20:44): 经验太长。

说话人04(02:20:46): 现在拿着也没用！

说话人01(02:20:46): 只有1m 开天。

说话人04(02:20:48): 我觉得没用，我就自己点了。

说话人03(02:20:50): 你要不看一下可以买什么东西，你给我买钓鱼竿！

说话人04(02:20:54): 30块钱我能买什么？

说话人01(02:20:55): 还买臭鱼干吗？

说话人04(02:20:56): 完全没东西买。

说话人02(02:20:58): 数字工具，

说话人04(02:20:58): 还不如积分拿经验，

说话人02(02:20:59): 人字工具。

说话人04(02:21:00): 你自己买去。

说话人02(02:21:01): 你们想换武器也可以换，觉得自己手上武器用不习惯的话。

说话人04(02:21:06): 我的母亲很习惯！

说话人03(02:21:08): 这样你那边攒点钱，

说话人04(02:21:08): 218是最高的？

说话人03(02:21:10): 你攒点钱买个乐器，我们可以。可以在打 boss 的时候你在旁边弹 bgm。

说话人04(02:21:17): 我一个战士，然后10-12点力量，然后到时候。然后到，然后遇到 boss 不打，然后旁边给你们乐唱歌，很好的。

说话人03(02:21:30): 对，这样。

说话人04(02:21:33): 我反正已经扣了，

说话人01(02:21:33): 太对了，太对了！

说话人04(02:21:35): 你们快给自己加吧！真扣了，真扣了。

说话人03(02:21:40): 那我加加时了？

说话人02(02:21:41): 直接把钱飞到你们的怀里。

说话人04(02:21:44): 主要是30，第一是不能买什么东西，

说话人01(02:21:45): 不是哥们。

说话人04(02:21:47): 然后攒着也没用，

说话人01(02:21:48): 怎么不。

说话人04(02:21:49): 然后还不如下，下次再开始攒了。

说话人01(02:21:52): 买吧，你攒钱买一个重型武器！

说话人04(02:21:54): 均分又不是，又不是，又不是没有了，又不是消失不见了，是你们有，只是整个队互相分一下而已！

说话人02(02:22:06): 对，评分队内评分？

说话人04(02:22:09): 又不是消失了。我告诉你，我现在把这101010。

说话人01(02:22:16): 你你你还不如？

说话人04(02:22:16): 叫什么病来着？

说话人01(02:22:19): 你直接搞一个，换一个武器！

说话人04(02:22:25): 我能换什么武器？

说话人01(02:22:27): 你直接买个重型武器，买个重型武器多次的，多次的。你那打个优势。

说话人04(02:22:34): 我这个是二第八体最高！

说话人02(02:22:36): 对，他本来就是双手武器！

说话人01(02:22:40): 双手武器？

说话人03(02:22:41): 要不你买个双手武器？

说话人01(02:22:43): 我双手武器，我1d 10。

说话人02(02:22:51): 第10，没有双武器，双手武器。第10是双手手持一个武器，它是双手小锤，双持小锤是中型武器，中型武器才有优势。

说话人01(02:23:02): 278打打两段伤害？

说话人02(02:23:07): 至少有一个锤命中的。

说话人03(02:23:10): 那要不你也买个小锤，小锤多少钱？

说话人04(02:23:14): 你你就说我难道？

说话人02(02:23:14): 中型武器？

说话人04(02:23:16): 我难道2d8出出不了比一大的数字吗？

说话人01(02:23:18): 你去中午去？

说话人04(02:23:19): 不可能的，你看！你看一身五五枪？

说话人03(02:23:22): 我充钱，你买。

说话人01(02:23:25): 中武器都是20块钱嘛不是？

说话人03(02:23:27): 我那我出险！

说话人02(02:23:30): 那你们。

说话人01(02:23:30): 我自己。

说话人04(02:23:31): 所以你不你你你都出钱了，

说话人03(02:23:32): 你买吗？你买吗？

说话人04(02:23:34): 你就不能直接均分吗？还能给点经验？

说话人03(02:23:38): 不要。

说话人04(02:23:39): 你你你想要的话，

说话人01(02:23:39): 我自己买吧！

说话人04(02:23:41): 你先积分，然后我把你那部分再还给你。

说话人02(02:23:45): 太坏了，

说话人04(02:23:45): 我不要了行吧！

说话人02(02:23:45): 小朋友。

说话人03(02:23:47): 他不要，我这么坏。

说话人04(02:23:49): 那我把那我。

说话人03(02:23:51): 现在邪恶人格上线。

说话人04(02:23:53): 那我先把钱花完吧，这10个币我也没用，我又把它埋到蜜糖镇的，随便什么地方等一个有缘的小孩子。

说话人01(02:24:00): 我的武器重。

说话人04(02:24:00): 拿到卡买糖去吧！

说话人02(02:24:01): 会有新的爆炸？那我让下一车去取你的宝藏。

说话人01(02:24:05): 我的武器是重型武器？

说话人02(02:24:07): Ok你丢下了多少 p？

说话人04(02:24:10): 10，我就10块钱。

说话人01(02:24:14): 我的武器是重型武器，要双手直播，要双手第10伤害。

说话人04(02:24:17): 然后我买买个纸条。

说话人02(02:24:23): 买纸条写的是什么？

说话人04(02:24:26): 什么都没写。

说话人02(02:24:28): 是**。

说话人01(02:24:36): 我这重重型武器。

说话人02(02:24:37): 没事，他待会就待会下一车就会感谢上天的馈赠。

说话人01(02:24:43): 我这垃圾钩能拿同时的垃圾钩和咱一个重型武器吗？

说话人02(02:24:52): ***本来重型武器！

说话人01(02:24:55): 垃圾钩不是要双手持握吗？中型武器垃圾钩是重型武器，我是中型武器中型。

说话人02(02:25:01): 第一把你就看头面。第六第八中。D10重 d12那是增强攻击带 buff 的。

说话人01(02:25:16): 还有 buff。

说话人02(02:25:18): 你们没 buff，现在没人做得到增强攻击！

说话人01(02:25:20): 我如果，我如果拿两把重型武器，能直接打出2d6？

说话人02(02:25:25): 你做不到，你没办法说你没事，现在压根体型不可能做得到，你但凡是个巨大的鼠，你也不是个巨大的鼠！

说话人01(02:25:35): 那算了。

说话人04(02:25:35): 我能给自己加个状态吗？

说话人02(02:25:38): 给自己加个状态吗？你不是加了吧？

说话人04(02:25:40): 怨灵缠绕，数个障碍，怨灵缠绕。

说话人02(02:25:43): 没有回***。

说话人04(02:25:44): 还有怨灵在我旁边，

说话人02(02:25:45): 你你的鼠格障碍不就是这么来的吗？你以为是怎么来的？

说话人04(02:25:50): 不我不管。这是两个不同的状态。

说话人02(02:25:53): 不给删了。

说话人04(02:25:58): 你不觉得有11个人觉得自11只手觉得自己是猫，旁边还有一个怨灵一直缠绕着它，很设定很带感吗？

说话人02(02:26:05): 只有！同一个引起的，我管你在哪的。

说话人01(02:26:21): 我看到的东西。

说话人02(02:26:23): 在暑假。

说话人01(02:26:27): 我们现在的区域属于储存，聚落，

说话人02(02:26:31): 不用管这个世界没有世界观。

说话人01(02:26:32): 聚落。那我们就可以随便买东西？

说话人02(02:26:35): 没有大地图，世界观只有你们他的世界观，只有你们开头看的玩家手册的那一段话。

说话人03(02:26:42): 我要走了，之前还有一段话。

说话人04(02:26:45): 玩家手册还有一段话？

说话人02(02:26:47): 国家手册开头不是就有第一个章节，不一段引言吗？

说话人03(02:26:53): 我直接跳过这里了，我在看后面的了，我现在就看。

说话人02(02:26:56): 我他妈真要揍你了，给你放第一段你不看？

说话人01(02:26:58): 他是人质工具，人质工具里面有什么毒药？

说话人02(02:27:06): 对，你可以买，你有钱，但这边不是靠近人类聚区聚落的。

说话人01(02:27:12): 甚至还有补。

说话人02(02:27:13): 蜜糖症不靠近人类聚落。

说话人01(02:27:14): 甚至还有卖捕鼠器的。

说话人04(02:27:17): 你看勇敢的老鼠危险的世界，我刚才，这段话一看就是一个 coc 那种世界观的！

说话人02(02:27:29): ***是你自己只跑 coc 跑多了别人联想到 coc。

说话人04(02:27:39): 一看就是魂系列世界观崩塌的世界需要我！

说话人02(02:27:44): 现在至少还有。

说话人03(02:27:49): 对，你不要尬黑，我们谈反流好不好？

说话人02(02:27:51): ***，谈反什么都能谈。

说话人04(02:27:53): 不你你们带入的是什么？不死者的视角，我带入的是。

说话人02(02:27:59): 都别的吧！

说话人04(02:28:01): 路边老鼠的视角？

说话人02(02:28:06): 谁跟你说混了？

说话人04(02:28:12): 你们是什么褪色人，不死者，我是老鼠，我只是一只猫而已！

说话人03(02:28:18): 你是叔叔那你那。那你要不去找赐福王大人，赐福王大人对老鼠还蛮好的。

说话人01(02:28:27): 不是要我说我们去搞个银器，

说话人04(02:28:27): 还是算了，我怕被吃了。

说话人01(02:28:30): 不然。

说话人03(02:28:34): 搞人气干嘛，人气又啥样？又有什么作用？

说话人01(02:28:37): 攻击幽灵，人机可以攻击幽灵。

说话人03(02:28:39): 不是在哪里写的，都在哪里写，你们在哪里看的？

说话人01(02:28:43): 共享资料册，共享资料册武器分享。

说话人04(02:28:45): 空调有武器！

说话人02(02:28:46): 玩家手册里面也有写银器，可以附魔！

说话人01(02:28:50): 对，银器可以攻击亡灵，能够附魔！

说话人03(02:28:53): 看到了。

说话人02(02:28:54): 攻击的是幽灵，不是亡灵，

说话人01(02:28:56): 攻击幽灵攻击，

说话人02(02:28:56): 没有亡灵，世界，

说话人01(02:28:57): 攻击，攻击，

说话人02(02:28:58): 不对，

说话人01(02:28:58): 攻击幽灵不错了！

说话人02(02:28:59): 但是存在于变体之中的。

说话人04(02:29:03): 我身上还有一只怨灵！

说话人03(02:29:06): 我求求你了。我们都看不到我。

说话人04(02:29:08): 我不管，反正这个状态我自己给自己加上了。

说话人03(02:29:15): 好好随便你。

说话人01(02:29:18): 轻型武器我们，我们可以两个手拿，两个手拿打出206的伤害。

说话人02(02:29:21): 你乱改的话，我待会就把你的编辑权限给下了。

说话人04(02:29:27): 我以后就可以不用自己弄了。

说话人02(02:29:30): 你不用自你用，

说话人01(02:29:30): 星星武器？

说话人02(02:29:31): 我直接判我自动判你扣完血倒地了。

说话人01(02:29:35): 轻型武器我们可以两只手拿武器吗？

说话人02(02:29:36): 你豁免都不用过了。

说话人01(02:29:39): 轻型近战。两只手各拿一个，打出2d6的伤害。

说话人02(02:29:42): 对，是二第8曲。

说话人01(02:29:45): 还有攻击优势？2d8最高，双双武器清屏。

说话人02(02:29:53): 中型这是。

说话人04(02:29:57): 拿轻骑没伤害，拿轻骑主要是要拿盾什么的。

说话人01(02:30:03): 哪些机器人在上面给的特殊双武器攻击时就有优势？

说话人04(02:30:09): 你拿东西也有，伤害不是高一点。

说话人02(02:30:13): 不是他妈刚才已经给他讲了，不知道他左右脑互搏些什么，气笑了。

说话人04(02:30:25): 所以到现在都不给我家给你签到吗？

说话人02(02:30:28): 不给就不给，气死你。

说话人01(02:30:31): 现在。

说话人04(02:30:32): 确定。

说话人02(02:30:34): 并没有。

说话人04(02:30:34): 一个人身残志坚。

说话人02(02:30:37): 一个鼠。

说话人04(02:30:40): 一只猫。

说话人02(02:30:42): 一个鼠。

说话人03(02:30:42): 猫在哪里了？

说话人01(02:30:49): 这还有魔法剑？

说话人03(02:30:52): 给哪里，我看一下。

说话人01(02:30:55): 你看武器类型，魔法剑，武器类型，魔法剑。

说话人02(02:30:59): 基本上都是宝藏来的。

说话人03(02:31:02): 那没事了。

说话人01(02:31:03): 重型双爪第10我？

说话人03(02:31:10): 没事了。

说话人01(02:31:11): 魔法剑武器还有效果？

说话人02(02:31:22): 然后看看，最后再确认一下你们的。钱的去向小玉现在还剩多少钱？86？

说话人01(02:31:32): 为什么。你们都把名字改成**，不告诉我。

说话人03(02:31:37): 这不是默认的吗？我们每次进来都会改名，

说话人01(02:31:40): 对，

说话人03(02:31:40): 不管哪个。

说话人01(02:31:42): 这不是默认的吗？

说话人03(02:31:43): 对。

说话人01(02:31:45): 你居然不改吗？

说话人04(02:31:46): 我忘了。
